rule_name;rule_type;surface;breakability_u200b;score;description;expression;defined_in;defined_at_line
__BODY_STARTS_WITH_FROM_LINE;body;body;likely;;;/^From \S+ \S\S\S \S\S\S .. ..:..:.. \S+\s+\S+\: /s;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7384
__BODY_TEXT_LINE;body;body;likely;;;/^\s*\S/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7386
__BOGUS_MIME_HDR;full;body;likely;;;/\bContent-[XYZ]-[a-z]{6,15}:\s+[a-z]{6,15}\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7392
__BOGUS_MIME_VER_02;header;other;unlikely;;;MIME-Version =~ /^(?!.*\b1\.0\b).+/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7400
__BONUS_LAST_DAY;body;body;likely;;;/\b(?:last|final) day of the (?:\$\d+ |\d+ dollars? )?bonus offer(?:ing)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7404
__BOUNCE_ADDR_ERR;header;subject;likely;;;Subject =~ /^e-mail addressing error \(/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;102
__BOUNCE_AUTO_REPLY;header;subject;likely;;;Subject =~ /\b(?:automatic reply|AutoReply)\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;132
__BOUNCE_AUTO_RESPOND;header;subject;likely;;;Subject =~ /^(?:Automatically Generated Response from |Auto-Respond E-Mail from )/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;125
__BOUNCE_AUTO_RESPONSE;header;subject;likely;;;Subject =~ /^automated response$/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;126
__BOUNCE_COULD_NOT;header;subject;likely;;;Subject =~ /^Mail could not be delivered$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;105
__BOUNCE_CTYPE;header;other;likely;;;Content-Type =~ /\bmultipart\/report\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;107
__BOUNCE_DATA_FORMAT;header;subject;likely;;;Subject =~ /^Returned mail: Data format error$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;104
__BOUNCE_DEL_FAIL;header;subject;likely;;;Subject =~ /^DELIVERY FAILURE/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;113
__BOUNCE_ESMTP;body;body;likely;;;/^This messages was created automatically by mail delivery software/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;93
__BOUNCE_ETRUST;body;body;likely;;;/^eTrust Secure Content Manager SMTPMAIL could not deliver the e-mail /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;127
__BOUNCE_FROM_DAEMON;header;other;unknown;;;From =~ /(?:^(?:mail\S+daemon|d[ae][ae]mon|majordomo|postmaster|automated-response|mailadmin|mailmaster|surfcontrol|You_Got_Spammed|SMTP.gateway)\@|scanner\S*\@|<>)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;66
__BOUNCE_INTERSCAN;header;other;likely;;;From =~ /\bInterscan MSS Notification\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;128
__BOUNCE_MAILDELFAIL;header;subject;likely;;;Subject =~ /^Mail delivery failed: /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;91
__BOUNCE_MAIL_DEL_FAIL;header;subject;likely;;;Subject =~ /^Mail Delivery Failure$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;114
__BOUNCE_MSGDELFAIL;header;subject;likely;;;Subject =~ /^Message Delivery Failure/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;92
__BOUNCE_NEVER_SEE;body;body;likely;;;/\bThis is an autoresponder. I'll never see your message\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;96
__BOUNCE_NONWORKING;body;body;likely;;;/\bYou have reached a non.?working address.  Please check\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;97
__BOUNCE_NOTDEL;header;subject;likely;;;Subject =~ /^MESSAGE NOT DELIVERED: /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;101
__BOUNCE_NOTIF;header;subject;likely;;;Subject =~ /^Notification d\'.tat de la distribution$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;111
__BOUNCE_NO_RESEND;body;body;likely;;;/\bPlease do not resend your original message\./;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;130
__BOUNCE_NO_VAL;header;subject;likely;;;Subject =~ /^No valid recipient in /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;103
__BOUNCE_OOO_B1;body;body;likely;;;/\bI ?.m away until .{10,20} and am unable to read your message\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;155
__BOUNCE_OOO_B2;body;body;likely;;;/\bI am currently out of the office\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;156
__BOUNCE_OOO_CB1;body;body;likely;;;/\bout of (?:the )?office\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;161
__BOUNCE_OOO_CB2;body;body;likely;;;/\bon (?:vacation|holiday)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;162
__BOUNCE_OOO_CB3;body;body;likely;;;/\bolen lomalla\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;163
__BOUNCE_OOO_CB4;body;body;likely;;;/\breturn to (?:the )?office\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;164
__BOUNCE_OOO_CS1;header;subject;likely;;;Subject =~ /^Automa(?:tic reply|attinen vastaus|tisch antwoord):/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;160
__BOUNCE_OOO_S1;header;subject;likely;;;Subject =~ /^R.ponse automatique d'absence du bureau/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;149
__BOUNCE_OOO_S2;header;subject;likely;;;Subject =~ / \(away from the office\)$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;150
__BOUNCE_OOO_S3;header;subject;likely;;;Subject =~ /^Out Of Office\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;151
__BOUNCE_READ_NOTIFICATION;header;subject;likely;;;Subject =~ /^Read: /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;69
__BOUNCE_RETURNED;header;subject;likely;;;Subject =~ /^Returned mail: (?:User unknown|unreachable recipients)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;90
__BOUNCE_RET_MAIL;header;subject;likely;;;Subject =~ /^Returned Mail$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;112
__BOUNCE_RPATH_ERRMAIL;header;other;unknown;;;Return-Path =~ /delete\@errmail\./i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;123
__BOUNCE_RPATH_MD;header;other;unknown;;;Return-Path =~ /(?:mailer-(?:daemon|deamon)|quotaagent|pleaseforward|autoresponder|autoresponse-\S+|devnull\S*)\@/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;71
__BOUNCE_RPATH_NULL;header;other;unknown;;;Return-Path =~ /<>/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;68
__BOUNCE_STAT_FAIL;header;subject;likely;;;Subject =~ /^Delivery Status Notification/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;109
__BOUNCE_SYMANTEC;header;subject;likely;;;Subject =~ /^Returned mail.{0,5}(?:Error During Delivery|see transcript for details|)$/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;88
__BOUNCE_UNDELIVERABLE;header;subject;likely;;;Subject =~ /^Undeliverable(?: -|:) /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;99
__BOUNCE_UNDELIVERABLE_ML;header;subject;likely;;;Subject =~ /^Undeliver(?:able|ed) Mail\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;100
__BOUNCE_UNDEL_MSG;header;subject;likely;;;Subject =~ /^Undeliverable (?:Message|Mail)$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;106
__BOUNCE_X_ERR_STAT;header;other;unknown;;;X-Error-Status =~ /User unknown/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;89
__BOUNCE_Y_AUTOGEN;header;subject;likely;;;Subject =~ /^Yahoo! Auto Response/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;87
__BTC_OBFU_2;body;body;likely;;;/\b\W{0,10}b(?!it[-\s]?coin)\W{0,10}i\W{0,10}t\W{0,10}c\W{0,10}o\W{0,10}i\W{0,10}n\W{0,10}\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7408
__BTC_OBFU_3;body;body;likely;;;/\b\W{0,10}b(?!tc\b)\W{0,10}t\W{0,10}c\W{0,10}\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7410
__BTC_OBFU_4;body;body;likely;;;/\bb(?!itcoin)[i\x{0456}]t[c\x{0441}][o\x{043E}][i\x{0456}]n\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7413
__BTC_OBFU_5;body;body;likely;;;"/&\#x62;&\#x69;&\#x74;&\#x63;&\#x6F;&\#x69;&\#x6E;/i";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7416
__BUG6919_RDNS_STATIC;header;other;unknown;;;X-Spam-Relays-External =~ /^[^\]]+ rdns=\S*(?:fix|fixip|static|dedicated|business|compute)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7418
__BUGGED_IMG;rawbody;body;likely;;;m{<img\b[^>]{0,100}\ssrc=.?https?://[^>]{6,80}(?:\?[^>]{8}|[^a-z](?![a-f]{3}|20\d\d[01]\d[0-3]\d)[0-9a-f]{8})}i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7420
__BURKINA_FASO;body;body;likely;;;/\bburkina\s?faso\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7422
__CANT_SEE_AD_1;body;body;likely;;;/\b(?:can(?:no|')?t|(?:aren'?t[-,!\s]{1,3}|not[-,!\s]{1,3}|un)able[-,!\s]{1,3}to)[-,!\s]{1,3}(?:(?!our|this|the)\w{1,12}[-,\s]{1,3}){1,2}(?:our|this|the)[-.,\s*]{1,3}(?:commercial[-.,\s]{1,3}|ad(?:v[-.]?ert[i1l]se-?ment)?[-.,\s]{1,3}|images |newsletter |mailing ){1,2}(?:at all|(?:(?:down )?(?:below|underneath))|in (?:your|this) mail|(?:due to|because(?: of)?|as|from) (?:no |missing |unloaded |blocked )?(?:images|graphics))\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7424
__CANT_SEE_AD_2;body;body;likely;;;/\b(?:issue|problem|trouble) (?:getting|viewing|with) (?:(?:our|the) )?(?:message|content|e-?mail|details)(?: below)?[.?] (?:please|go ahead and) (?:click|browse)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7426
__CAN_HELP;body;body;likely;;;/\bcan help\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7428
__CASHPRZ;body;body;likely;;;/cash prize of/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7430
__CD;header;other;unknown;;;exists:Content-Disposition;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;371
__CGATE_RCVD;header;other;unlikely;;;Received =~ /by \S+ \(CommuniGate Pro/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dynrdns.cf;200
__CHARITY;body;body;likely;;;/\b(?:charit(?:y|[ai]ble)|orphans?|homeless|orphelins|sans\sabri)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7432
__CLEAN_MAILBOX;body;body;likely;;;/\b(?:(?:e-?mail|mail\s?box|violation:|(?-i:CLICK)) (?:quota size|clean(?:-?up))|clean ?up click ?here|(?:please|automatically) reduce (?:your|the) e?-?mail ?box size|reduce (?:your |the )?(?:e?-?mail(?: ?box)? )?size automatically)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7434
__CLICK_HERE;body;body;likely;;;/\bclick\shere\b/i;/usr/share/spamassassin/72_active.cf;6965
__CN_URL;uri;body;likely;;;/[^\/]+\.cn(?:$|\/|\?)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7437
__COMMENT_EXISTS;body;body;unlikely;;;eval:html_text_match('comment', '<!.*?>');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_html_tests.cf;215
__COMMENT_GIBBERISH;rawbody;body;likely;;;"/<!--(?:\s{1,10}[-\w'""]{1,40}){100}/im";/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7439
__COMPENSATION;body;body;likely;;;/\b(?:compensat(?:e|ion)|recompensed?|ausgleich)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7441
__CONTACT_ATTY;body;body;likely;;;/\bcontact(?:er)?\s(?:my|(?:de\s)?mon)\s(?:barrister|attou?rney|lawyer|avocat|gestionnaire)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7443
__CONTACT_YOU;body;body;likely;;;/\b(?:contact(?:ing)\syou|vous\scontacter?)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7445
__CONTENT_AFTER_HTML;rawbody;body;likely;;;/<\/html>\s*[a-z0-9]/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7447
__COPY_PASTE_DE;body;body;likely;;;/Kopieren Sie es und f(?:\xfc|\xc3\xbc)gen Sie es ein|Kopieren \& Einf(?:\xfc|\xc3\xbc)gen/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7449
__COPY_PASTE_EN;body;body;likely;;;/<C><O><P><Y> (?:<A><N><D>|\+|\&) <P><A><S><T><E>/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7456
__COPY_PASTE_ES;body;body;likely;;;/copiarlo y pegarlo/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7459
__COPY_PASTE_FR;body;body;likely;;;/le copier (?:et le|\+) coller/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7461
__COPY_PASTE_IT;body;body;likely;;;/copiar?lo (?:e|\&) incollar?lo/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7463
__COPY_PASTE_NL;body;body;likely;;;/kopieer en plak het/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7465
__COPY_PASTE_SE;body;body;likely;;;/kopiera den och klistra in/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7467
__COURIER;body;body;likely;;;/\bcourier\s(?:company|service)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7469
__CRBOUNCE_0SPAM1;uri;body;likely;;;/^http:\/\/www\.0spam\.com\/v/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;181
__CRBOUNCE_0SPAM2;header;other;unlikely;;;From:addr =~ /^verify\@0spam.com$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;182
__CRBOUNCE_ASK;header;other;unknown;;;X-AskVersion =~ /\d/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;200
__CRBOUNCE_BLOCKED;header;subject;likely;;;Subject =~ /^\*\*Message you sent blocked by our bulk email filter\*\*$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;214
__CRBOUNCE_EXI;header;other;unknown;;;X-ExiSpam =~ /ExiSpam/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;211
__CRBOUNCE_GETRESP;header;other;unknown;;;Return-Path =~ /<bounce\S+\@\S+\.getresponse\.com>/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;197
__CRBOUNCE_MIB;header;other;unknown;;;Content-Type =~ /mUlTiPaRtBoUnDaRy_MailInBlack/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;189
__CRBOUNCE_PREC_SPAM;header;other;unknown;;;Precedence =~ /spam/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;205
__CRBOUNCE_QURB;header;subject;likely;;;Subject =~ /\[Qurb .\d+\]$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;179
__CRBOUNCE_RP;header;other;unknown;;;Return-Path =~ /<(?:spamblocker-challenge|spambush|apd\.sspam|spamhippo|devnull-quarantine)\@/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;176
__CRBOUNCE_RP_2;header;other;unknown;;;Return-Path =~ /\@(?:spamstomp\.com|ipermitmail\.com)>$/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;177
__CRBOUNCE_SI1;uri;body;likely;;;m,^http://si20.com/auth,;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;191
__CRBOUNCE_SI2;header;other;unlikely;;;From:addr =~ /^siweb\@si20\.com/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;192
__CRBOUNCE_SPAMARREST;header;other;unknown;;;exists:X-Spamarrest-noauth;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;185
__CRBOUNCE_SPAMLION;header;other;unknown;;;Spamlion =~ /\S/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;202
__CRBOUNCE_SZ;header;other;unknown;;;X-Spamazoid-MD =~ /\d/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;201
__CRBOUNCE_TMDA;header;other;unlikely;;;Message-Id =~ /\@\S+\-tmda\-confirm>$/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;199
__CRBOUNCE_UNVERIF;header;subject;likely;;;Subject =~ /^Unverified email to /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;213
__CRBOUNCE_UOL;header;other;likely;;;From =~ /\bAntiSpam UOL\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;174
__CRBOUNCE_VANQ;header;other;unknown;;;From =~ /<confirm-\S+\@spamguard\.vanquish\.com>/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;178
__CRBOUNCE_VERIF;header;subject;likely;;;Subject =~ /^(?:Your email requires verification verify:\S|Please Verify Your Email Address)/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_vbounce.cf;175
__CR_IN_SUBJ;header;subject;likely;;;Subject:raw =~ /\015/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7471
__CT;header;other;unknown;;;exists:Content-Type;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;372
__CTE;header;other;unknown;;;exists:Content-Transfer-Encoding;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;373
__CTYPE_CHARSET_QUOTED;header;other;unlikely;;;"Content-Type =~ /charset=\""/i";/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_ratware.cf;141
__CTYPE_HAS_BOUNDARY;header;other;unknown;;;Content-Type =~ /boundary/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_ratware.cf;142
__CTYPE_HTML;header;other;unknown;;;Content-Type =~ /text\/html/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_ratware.cf;201
__CTYPE_MULTIPART_ALT;header;other;unknown;;;Content-Type =~ /multipart\/alternative/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_body_tests.cf;54
__CTYPE_MULTIPART_ANY;header;other;unknown;;;Content-Type =~ /multipart\/\w+/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7481
__CTYPE_MULTIPART_MIXED;header;other;unknown;;;Content-Type =~ /multipart\/mixed/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7483
__CT_ENCRYPTED;header;other;unlikely;;;Content-Type =~ /^multipart\/(?:x-)?(?:pgp-)?encrypted|application\/(?:x-)?pkcs7-mime/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7497
__CT_TEXT_PLAIN;header;other;likely;;;Content-Type =~ /^text\/plain\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_head_tests.cf;375
__DATE_LOWER;header;other;unlikely;;;ALL =~ /date: \S{5}/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7503
__DAY_I_EARNED;body;body;unlikely;;;/day,?\sI\s(?:earned|got|received|made|brought\sin)\s\$\s?\d{3}/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7506
__DBLCLAIM;body;body;likely;;;/avoid double claiming/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7510
__DC_IMG_HTML_RATIO;rawbody;body;likely;;Low rawbody to pixel area ratio;eval:image_to_text_ratio('all', '0.000', '0.015');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_imageinfo.cf;37
__DC_IMG_TEXT_RATIO;body;body;likely;;Low body to pixel area ratio;eval:image_to_text_ratio('all', '0.000', '0.008');/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_imageinfo.cf;40
__DEAD_PARENT;body;body;likely;;;/\b(?:my|meu)\s(?:(?:deceased|dead)\s(?:father|mother|husband)|(?:father|dad|mother|mom|husband|marido)(?:'?s)?\s(?:death|died|passed\saway|murder|was\s(?:killed|murdered|poisoned)|faleceu))/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7512
__DEAL;body;body;likely;;;/\b(?:(?:business|financial|this|the|mutual|die(?:se)?r?|cette|profitable)\s(?:deal|transa[ck]tion|proposal|off[er]{2}|venture|suggestion|partnership)|your\spartnership)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7514
__DECEASED;body;body;likely;;;/\b(?:the|my|your|der|du|le|meu?)\s(?:deceased|late|verstorbenen|d(?:i|e|=E9|[\xe9]|[\xc3][\xa9])funto?|d(?:e|=E9|[\xe9]|[\xc3][\xa9])nt|falecido)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7516
__DESTROY_ME;body;body;likely;;;/\b(?:destroy|hunt|quemar)\sm[eyi]\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7518
__DESTROY_YOU;body;body;likely;;;/\b(?:destroy\syou|deine Zukunft zerst\S{1,3}ren)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7520
__DIED_IN;body;body;likely;;;/\bdied\sin\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7522
__DIPLOMATIC;body;body;likely;;;/\bdiplomatic\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7524
__DISPONOT;header;other;unknown;;;exists:Disposition-Notification-To;/var/lib/spamassassin/4.000001/updates_spamassassin_org/10_hasbase.cf;64
__DKIM_DEPENDABLE;full;body;likely;;A validation failure not attributable to truncation;eval:check_dkim_dependable();/var/lib/spamassassin/4.000001/updates_spamassassin_org/25_dkim.cf;60
__DKIM_EXISTS;header;other;unknown;;;exists:DKIM-Signature;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7554
__DLND_ATTACH;body;body;likely;;;/\bdownload\sthe\sattach(?:ed|ment)\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7557
__DOMINO_RCVD;header;other;unlikely;;;Received =~ /by \S+ \(Lotus Domino /;/var/lib/spamassassin/4.000001/updates_spamassassin_org/20_dynrdns.cf;202
__DORMANT_ACCT;body;body;likely;;;/\b(?:(?:dormant|abandoned|left\s?over)\s(?:account|fund|transaction|sum|deposit)|fonds\sdorment)/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7591
__DOS_BODY_FRI;body;body;likely;;;/\bfri(?:day)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7593
__DOS_BODY_MON;body;body;likely;;;/\bmon(?:day)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7595
__DOS_BODY_SAT;body;body;likely;;;/\bsat(?:day)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7597
__DOS_BODY_STOCK;body;body;likely;;;/\bstock\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7599
__DOS_BODY_SUN;body;body;likely;;;/\bsun(?:day)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7601
__DOS_BODY_THU;body;body;likely;;;/\bthu(?:r(?:s(?:day)?)?)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7603
__DOS_BODY_TICKER;body;body;likely;;;/\b[A-Z]{4}\.(?:OB|PK)\b/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7605
__DOS_BODY_TUE;body;body;likely;;;/\btue(?:s(?:day)?)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7607
__DOS_BODY_WED;body;body;likely;;;/\bwed(?:nesday)?\b/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7609
__DOS_COMING_TO_YOUR_PLACE;body;body;likely;;;/I (?:am|might(?: be)?) c[a-z]?o[a-z]?m[a-z]?(?:i[a-z]?n[a-z]?g[a-z]{0,2}|e down) to y[!a-z]{2,4}r (?:city|place[a-z]{0,2}|co[a-z]?u[a-z]?n[a-z]?t[a-z]?ry) in (?:f[a-z]?e[a-z]?w|\d{1,2}) (?:day|week)s/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7611
__DOS_CORRESPOND_EMAIL;body;body;likely;;;/correspond with me using my email/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7613
__DOS_DROP_ME_A_LINE;body;body;likely;;;/Drop me a line at/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7619
__DOS_EMAIL_DIRECTLY;body;body;likely;;;/(?:Email m[a-z]?e|address) direc(?:tl|lt)y at/;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7621
__DOS_FIN_ADVANTAGE;body;body;likely;;;/\bfinancial advantage/i;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7623
__DOS_HAS_ANY_URI;uri;body;likely;;;/^\w+:\/\//;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7625
__DOS_HAS_LIST_ID;header;other;unknown;;;exists:List-ID;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7627
__DOS_HAS_LIST_UNSUB;header;other;unknown;;;exists:List-Unsubscribe;/var/lib/spamassassin/4.000001/updates_spamassassin_org/72_active.cf;7629
